Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
Peter Pan,420808,Peter Pan & Wendy,"Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",2023-04-20,106,0,0,"['Family', 'Fantasy', 'Action', 'Adventure']","['Walt Disney Pictures', 'Whitaker Entertainment']",['United States of America'],['English'],Escape to Neverland,5.9,240
Corpse Bride,3933,Corpse Bride,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",2005-09-12,77,40000000,118133252,"['Romance', 'Fantasy', 'Animation']","['Tim Burton Productions', 'Laika Entertainment', 'Patalex Productions', 'Warner Bros. Pictures', 'Will Vinton Studios', 'Tim Burton Animation Company']",['United States of America'],['English'],There's been a grave misunderstanding.,7.514,7949
Alice in Wonderland,12155,Alice in Wonderland,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",2010-03-03,108,200000000,1025467110,"['Family', 'Fantasy', 'Adventure']","['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']",['United States of America'],['English'],You're invited to a very important date.,6.62,12845
One Hundred and One Dalmatians,12230,One Hundred and One Dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement. In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",1961-01-25,82,4000000,85000000,"['Adventure', 'Animation', 'Comedy', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],The Canine Caper of the Century,7.168,5642
Cinderella,11224,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",1950-02-22,74,2900000,263591415,"['Family', 'Fantasy', 'Animation', 'Romance']",['Walt Disney Productions'],['United States of America'],['English'],The greatest love story ever told.,7.037,6051
The Simpsons Movie,35,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",2007-07-25,87,75000000,527068851,"['Animation', 'Comedy', 'Family']","['Gracie Films', 'Film Roman', '20th Century Fox Animation', 'The Curiosity Company', '20th Century Fox']",['United States of America'],['English'],See our family. And feel better about yours.,6.991,7228
The Last Unicorn,10150,The Last Unicorn,"From a riddle-speaking butterfly, a unicorn learns that she is supposedly the last of her kind, all the others having been herded away by the Red Bull. The unicorn sets out to discover the truth behind the butterfly's words. She is eventually joined on her quest by Schmendrick, a second-rate magician, and Molly Grue, a now middle-aged woman who dreamed all her life of seeing a unicorn. Their journey leads them far from home, all the way to the castle of King Haggard.",1982-11-19,92,0,6455530,"['Fantasy', 'Animation', 'Family', 'Adventure']","['Rankin/Bass Productions', 'ITC Entertainment']","['United Kingdom', 'United States of America']","['English', 'Deutsch']",There's Magic in Believing!,7.156,404
Bambi,3170,Bambi,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",1942-02-11,70,858000,267447150,"['Animation', 'Drama', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],A great love story.,7.009,5083
The Brave Little Toaster,19933,The Brave Little Toaster,"A group of dated appliances, finding themselves stranded in a summer home that their family had just sold, decide to seek their young 8 year old ""master"".",1987-07-09,90,2300000,0,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family', 'Music']","['The Kushner-Locke Company', 'Hyperion Pictures', 'Walt Disney Pictures']",['United States of America'],"['English', 'Español', 'Polski']",Plug into the adventure!,6.924,362
Heisei tanuki gassen ponpoko,15283,Pom Poko,"The Raccoons of the Tama Hills are being forced from their homes by the rapid development of houses and shopping malls. As it becomes harder to find food and shelter, they decide to band together and fight back. The Raccoons practice and perfect the ancient art of transformation until they are even able to appear as humans in hilarious circumstances.",1994-07-16,119,0,0,"['Adventure', 'Animation', 'Fantasy']",['Studio Ghibli'],['Japan'],['日本語'],A Fantastic Tale Of Survival,7.148,859
Shaun the Sheep Movie,263109,Shaun the Sheep Movie,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",2015-02-05,85,25000000,106209378,"['Family', 'Animation', 'Comedy', 'Adventure']","['Aardman', 'Anton Capital Entertainment (ACE)', 'StudioCanal', 'Lionsgate']","['France', 'United Kingdom', 'United States of America']",['English'],Moving on to Pastures New.,7.0,1213
Encanto,568124,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",2021-10-13,102,50000000,253000000,"['Animation', 'Comedy', 'Family', 'Fantasy']","['Walt Disney Animation Studios', 'Walt Disney Pictures']",['United States of America'],"['English', 'Español']",There's a little magic in all of us ...almost all of us.,7.642,8163
Cars,920,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",2006-06-08,117,120000000,461983149,"['Animation', 'Adventure', 'Comedy', 'Family']","['Pixar', 'Walt Disney Pictures']",['United States of America'],"['English', 'Italiano', '日本語', '']",Ahhh... it's got that new movie smell.,6.918,12548
DC League of Super-Pets,539681,DC League of Super-Pets,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",2022-07-27,105,90000000,203000000,"['Animation', 'Action', 'Family', 'Comedy', 'Science Fiction']","['Warner Animation Group', 'DC Entertainment', 'Seven Bucks Productions', 'Animal Logic', 'Warner Bros. Pictures']",['United States of America'],['English'],"Sit, stay, save the world.",7.41,1214
A Bug's Life,9487,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",1998-11-25,95,120000000,363258859,"['Adventure', 'Animation', 'Comedy', 'Family']","['Pixar', 'Walt Disney Pictures']",['United States of America'],['English'],An epic presentation of miniature proportions.,6.964,8321
The Prince of Egypt,9837,The Prince of Egypt,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",1998-12-16,99,70000000,218613188,"['Adventure', 'Animation', 'Drama', 'Family']","['DreamWorks Animation', 'DreamWorks Pictures']",['United States of America'],"['עִבְרִית', 'English']",The Power Is Real. The Story is Forever. The Time is Now.,7.2,3523
Treasure Planet,9016,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms on their journey to find treasure.",2002-11-26,95,140000000,109578115,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],['English'],Find your place in the universe.,7.529,3677
Kung Fu Panda 2,49444,Kung Fu Panda 2,"Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Po’s new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.",2011-05-25,91,150000000,665692281,"['Animation', 'Family']","['DreamWorks Animation', 'Paramount']",['United States of America'],['English'],Prepare for the Year of Awesomeness!,6.946,6149
Rango,44896,Rango,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",2011-03-02,107,135000000,245724603,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']","['Paramount', 'Nickelodeon Movies', 'GK Films', 'Blind Wink', 'Industrial Light & Magic']",['United States of America'],['English'],Heroes come in all different colors.,6.811,5776
Monsters University,62211,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,2013-06-19,104,200000000,743559607,"['Animation', 'Family']","['Pixar', 'Walt Disney Pictures']",['United States of America'],['English'],School never looked this scary.,7.028,9666
The Croods,49519,The Croods,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",2013-03-15,98,135000000,587204668,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy', 'Action']","['DreamWorks Animation', '20th Century Fox']",['United States of America'],['English'],Meet the first modern family.,6.9,6432
The Book of Life,228326,The Book of Life,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",2014-10-01,95,50000000,97437106,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['Reel FX Creative Studios', '20th Century Fox Animation', 'Chatrone']",['United States of America'],['English'],A blast of fun.,7.527,2363
The Fox and the Hound,10948,The Fox and the Hound,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",1981-07-10,82,12000000,29800000,"['Adventure', 'Animation', 'Drama', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],A story of two friends who didn't know they were supposed to be enemies.,7.1,2860
Sleeping Beauty,10882,Sleeping Beauty,"A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true love's first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princess's fate.",1959-02-17,75,6000000,51600000,"['Fantasy', 'Animation', 'Romance', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],Awaken to a World of Wonders!,6.945,4654
Rise of the Guardians,81188,Rise of the Guardians,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",2012-11-21,97,145000000,306941670,"['Family', 'Animation', 'Fantasy', 'Action', 'Adventure']","['DreamWorks Animation', 'Paramount']",['United States of America'],"['Français', 'English']",You better believe.,7.36,6058
Spirit: Stallion of the Cimarron,9023,Spirit: Stallion of the Cimarron,"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.",2002-05-24,83,80000000,122563539,"['Western', 'Animation', 'Adventure', 'Comedy', 'Family', 'Drama']","['DreamWorks Animation', 'DreamWorks Pictures']",['United States of America'],['Català'],Leader. Hero. Legend.,7.694,4133
Wish Dragon,550205,Wish Dragon,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,2021-01-15,99,0,25860000,"['Animation', 'Family', 'Comedy', 'Fantasy']","['Sony Pictures Animation', 'Tencent Pictures', 'Base FX', 'Beijing Sparkle Roll Media Corporation', 'Flagship Entertainment Group', 'Columbia Pictures']","['China', 'United States of America']","['普通话', 'English']",Three magical wishes. One life changing adventure.,7.979,1096
The Witcher: Nightmare of the Wolf,666243,The Witcher: Nightmare of the Wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",2021-08-23,83,0,0,"['Animation', 'Action', 'Fantasy']","['Studio Mir', 'Hivemind', 'Little Schmidt Productions', 'Platige Films']","['Poland', 'South Korea', 'United States of America']",['English'],Face your demons.,7.609,786
Dumbo,11360,Dumbo,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",1941-10-31,64,812000,1600000,"['Animation', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],The One...The Only...The FABULOUS...,6.997,4443
Anomalisa,291270,Anomalisa,An inspirational speaker becomes reinvigorated after meeting a lively woman who shakes up his mundane existence.,2015-12-30,90,8000000,5659286,"['Animation', 'Drama', 'Romance', 'Comedy']","['Starburns Industries', 'Harmonious Claptrap', 'Snoot Entertainment', 'HanWay Films', 'Paramount Animation', 'Paramount']","['United States of America', 'United Kingdom']",['English'],Welcome to the Kaufman surreal-neorealism tale in a dull world of sameness.,7.126,1533
The Transformers: The Movie,1857,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",1986-08-08,84,6000000,5849647,"['Animation', 'Science Fiction', 'Action', 'Adventure', 'Family']","['Hasbro', 'Marvel Productions', 'Sunbow Productions', 'De Laurentiis Entertainment Group', 'Toei Animation']","['Japan', 'United States of America']",['English'],Beyond good. Beyond evil. Beyond your wildest imagination.,7.164,422
Sing,335797,Sing,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,2016-11-23,108,75000000,634151679,"['Animation', 'Comedy', 'Family', 'Music']","['Illumination', 'Universal Pictures', 'Fuji Television Network', 'dentsu']",['United States of America'],['English'],Auditions begin 2016.,7.11,7278
Enchanted,4523,Enchanted,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",2007-11-20,107,85000000,340487652,"['Comedy', 'Family', 'Fantasy', 'Romance']","['Walt Disney Pictures', 'Josephson Entertainment', 'Andalasia Productions', 'Right Coast']",['United States of America'],['English'],This fairytale princess is about to meet a real Prince Charming.,6.802,4954
The Princess and the Frog,10198,The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",2009-12-08,98,105000000,270997378,"['Romance', 'Family', 'Animation']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],"['Français', 'English']",Every love story begins with a kiss...,7.187,4888
Kung Fu Panda 3,140300,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",2016-01-23,95,145000000,521170825,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']","['Pearl Studio', 'DreamWorks Animation', 'China Film Group Corporation', '20th Century Fox']","['China', 'United States of America']",['English'],Grab destiny by the rice dumplings.,6.9,5137
Chicken Run,7443,Chicken Run,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky (Mel Gibson) attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",2000-06-23,84,45000000,224834564,"['Animation', 'Comedy', 'Family']","['DreamWorks Animation', 'Aardman', 'Pathé', 'DreamWorks Pictures']","['United Kingdom', 'United States of America', 'France']",['English'],This ain't no chick flick. It's poultry in motion.,6.7,4347
Brave,62177,Brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",2012-06-21,93,185000000,538983207,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","['Walt Disney Pictures', 'Pixar']",['United States of America'],['English'],Change your fate.,7.009,12298
Anastasia,9444,Anastasia,"This animated adventure spins a more optimistic twist on the long-mythicized story of the ""lost daughter"" of Russia's last czar. A wicked sorcerer places a curse on the Romanov family, and Anastasia is separated from them during their attempts to escape from a rowdy revolt seizing their palace. Years later, after growing up with amnesia in an orphanage, ""Anya"" encounters two Russian men seeking a reward offered by the Dowager Empress Marie, for the return of her missing granddaughter. They decide to travel together to visit the Empress in Paris. Will Anya finally be reunited with her remaining family and find a loving home at last?",1997-11-20,94,53000000,139804348,"['Animation', 'Family', 'Fantasy', 'Adventure']","['Fox Animation Studios', 'Fox Family Films', 'The Big Gun Project', 'Little Wolf Entertainment', '20th Century Fox']",['United States of America'],"['English', 'Pусский', 'Français']",Discover the Adventure Behind the Greatest Mystery of our Time.,7.612,4842
The AristoCats,10112,The Aristocats,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.",1970-12-24,78,4000000,55675257,"['Animation', 'Comedy', 'Family', 'Adventure']",['Walt Disney Productions'],['United States of America'],['English'],A tune-filled animated extravaganza.,7.295,4522
The SpongeBob SquarePants Movie,11836,The SpongeBob SquarePants Movie,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",2004-11-14,87,30000000,140161792,"['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure']","['Paramount', 'Nickelodeon Movies', 'United Plankton Pictures', 'Rough Draft Studios']","['South Korea', 'United States of America']",['English'],Bigger. Better. More absorbent.,6.988,2525
Winnie the Pooh,980078,Winnie the Pooh: Blood and Honey,"Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",2023-01-27,84,100000,3200000,"['Horror', 'Thriller']","['Jagged Edge Productions', 'ITN Studios']",['United Kingdom'],['English'],This ain't no bedtime story.,5.7,548
Neko no ongaeshi,15370,The Cat Returns,"Young Haru rescues a cat from being run over, but soon learns it's no ordinary feline; it happens to be the Prince of the Cats.",2002-07-19,75,0,54016370,"['Adventure', 'Fantasy', 'Animation', 'Drama', 'Family']","['Studio Ghibli', 'Hakuhodo DY Media Partners', 'Mitsubishi', 'Nippon Television Network Corporation', 'TOHO', 'Tokuma Shoten']",['Japan'],['日本語'],"It's not so bad being a cat, now is it?",7.175,1683
The Sword in the Stone,9078,The Sword in the Stone,"Wart is a young boy who aspires to be a knight's squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesn't quite work out that way.",1963-12-25,79,3000000,22182353,"['Animation', 'Family']",['Walt Disney Productions'],['United States of America'],['English'],Tired of living in a Medieval mess... Merlin uses all his magic powers to change a scrawny little boy into a legendary hero!,7.249,3444
Balto,21032,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",1995-12-22,78,31000000,11348324,"['Family', 'Animation', 'Adventure']","['Amblin Entertainment', 'Amblimation', 'Universal Pictures']",['United States of America'],['English'],Part Dog. Part Wolf. All Hero.,7.304,1838
The Great Mouse Detective,9994,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",1986-07-02,74,14000000,38625550,"['Animation', 'Family', 'Adventure', 'Mystery']","['Silver Screen Partners II', 'Walt Disney Pictures']",['United States of America'],['English'],London's crime-fighting ace on his most baffling case!,7.056,1445
Fantasia 2000,49948,Fantasia 2000,"Blending lively music and brilliant animation, this sequel to the original 'Fantasia' restores 'The Sorcerer's Apprentice' and adds seven new shorts.",1999-12-31,74,80000000,60655420,"['Animation', 'Family', 'Music']",['Walt Disney Pictures'],['United States of America'],['English'],,7.009,1111
Arthur Christmas,51052,Arthur Christmas,"This movie reveals the incredible, never-before seen answer to every child's question: ""So how does Santa deliver all those presents in one night?"" The answer: Santa's (Jim Broadbent's) exhilarating, ultra-high-tech operation hidden beneath the North Pole. But at the center of this movie is a story about a family in a state of comic dysfunction and an unlikely hero, Arthur (James McAvoy), with an urgent mission that must be completed before Christmas morning dawns.",2011-11-10,97,10000000,0,"['Drama', 'Animation', 'Family', 'Comedy']","['Columbia Pictures', 'Sony Pictures Animation', 'Aardman']","['United Kingdom', 'United States of America']","['English', 'Español']",Ever wonder how 2 Billion presents get delivered all in 1 night?,6.763,1272
The Sea Beast,560057,The Sea Beast,"In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes. None were more beloved than the great Jacob Holland. But when young Maisie Brumble stows away on his fabled ship, he's saddled with an unexpected ally. Together they embark on an epic journey into uncharted waters and make history.",2022-06-24,119,0,0,"['Animation', 'Adventure', 'Family', 'Fantasy']",['Netflix'],['United States of America'],['English'],Hit the high seas.,7.509,1137
Turning Red,508947,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",2022-03-10,100,190000000,18879922,"['Animation', 'Family', 'Comedy', 'Fantasy']","['Walt Disney Pictures', 'Pixar']",['United States of America'],"['广州话 / 廣州話', '普通话', '한국어/조선말', 'Français', 'English']",Growing up is a beast.,7.468,4146
Hotel Transylvania,76492,Hotel Transylvania,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",2012-09-20,91,85000000,358375603,"['Animation', 'Comedy', 'Family', 'Fantasy']","['Columbia Pictures', 'Sony Pictures Animation']",['United States of America'],['English'],Even monsters need a vacation,6.954,7845
Ralph Breaks the Internet,404368,Ralph Breaks the Internet,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",2018-11-20,112,175000000,529221154,"['Family', 'Animation', 'Comedy', 'Adventure']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],['English'],Who Broke the Internet?,7.212,6766
Chip 'n Dale: Rescue Rangers,420821,Chip 'n Dale: Rescue Rangers,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",2022-05-20,99,0,0,"['Animation', 'Family', 'Comedy', 'Adventure', 'Mystery']","['Walt Disney Pictures', 'Mandeville Films']",['United States of America'],['English'],It's not a reboot. It's a comeback.,7.022,990
The Hunchback of Notre Dame,10545,The Hunchback of Notre Dame,"At the urging of his gargoyle pals, Quasimodo leaves Notre Dame tower against the wishes of his guardian, the evil Judge Claude Frollo. He ventures out to the Festival of Fools and finds his first true friend, a Romani woman named Esmeralda, who entrusts him with a secret. When the secret is revealed, Quasi soon finds himself fighting to save the people and city he loves.",1996-06-21,91,100000000,325338851,"['Drama', 'Animation', 'Family']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],"['Latin', 'English']",Join the party!,7.098,4473
9,12244,9,"When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.",2009-08-19,79,30000000,48428063,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']","['Tim Burton Productions', 'Relativity Media', 'Arc Productions', 'Starz Animation', 'Focus Features']","['Canada', 'Luxembourg', 'United States of America']",['English'],When our world ended their mission began.,6.896,3168
A Scanner Darkly,3509,A Scanner Darkly,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,2006-07-07,100,8700000,7659918,"['Animation', 'Science Fiction', 'Thriller']","['Warner Independent Pictures (WIP)', 'Thousand Words', 'Detour Filmproduction', 'Section Eight', '3 Arts Entertainment']",['United States of America'],['English'],Everything is not going to be OK.,6.804,1517
Ron's Gone Wrong,482321,Ron's Gone Wrong,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",2021-10-14,107,0,60692022,"['Animation', 'Science Fiction', 'Family', 'Comedy']","['Locksmith Animation', 'DNEG']","['United Kingdom', 'United States of America']",['English'],Best Friend Forever* (*battery life may vary),8.0,1569
Bedknobs and Broomsticks,12335,Bedknobs and Broomsticks,Three children evacuated from London during World War II are forced to stay with an eccentric spinster. The children's initial fears disappear when they find out she is in fact a trainee witch.,1971-10-07,117,20000000,17900000,"['Adventure', 'Fantasy', 'Comedy', 'Family', 'Music']",['Walt Disney Productions'],['United States of America'],['English'],You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!,7.013,832
Abominable,431580,Abominable,"A group of misfits encounter a young Yeti named Everest, and they set off to reunite the magical creature with his family on the mountain of his namesake.",2019-09-19,97,75000000,190304772,"['Family', 'Animation', 'Adventure', 'Comedy']","['DreamWorks Animation', 'Pearl Studio', 'Universal Pictures', 'dentsu']","['China', 'Japan', 'United States of America']",['English'],Find your way home.,7.524,1804
ParaNorman,77174,ParaNorman,"In the town of Blithe Hollow, Norman Babcock can speak to the dead, but no one other than his eccentric new friend believes his ability is real. One day, Norman's eccentric uncle tells him of a ritual he must perform to protect the town from a curse cast by a witch centuries ago.",2012-08-03,90,60000000,107139399,"['Family', 'Animation', 'Adventure', 'Comedy']","['Laika Entertainment', 'Focus Features']",['United States of America'],['English'],It's all fun and games until someone raises the dead.,6.953,2248
