Title,belongs_to_collection,genres,original_lang,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken langs,tagline,vote_average,vote_count,Unnamed: 15
Busanhaeng,1,"Horror, Thriller, Adventure, Action",ko,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",52.245,"Next Entertainment World, RedPeter Film, Contents Panda, Union Investment Partners, KTB Network, Korean Film Council",South Korea,20-07-2016,87547518,118,한국어/조선말,Life-or-death survival begins.,7.759,6378.0,
Yip Man 2,0,"Action, Crime, Drama",cn,"Following his defeat by Master Ip, Cheung Tin Chi tries to make a life with his young son in Hong Kong, waiting tables at a bar that caters to expats. But it's not long before the mix of foreigners, money, and triad leaders draw him once again to the fight.",22.597,"Mandarin Motion Pictures Limited, Golden Harvest Company","China, Hong Kong",20-12-2018,21832649,107,"English, 广州话 / 廣州話, 普通话",,6.239,425.0,
Il postino,0,"Comedy, Drama, Romance",it,Simple Italian postman learns to love poetry while delivering mail to a famous poet, he uses this to woo local beauty Beatrice.,,"Esterno Mediterraneo Film, Cecchi Gori Group Tiger Cinematografica, K2 Two, Blue Dahlia Productions, Penta Film","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",07-04-1994,0,,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Dreams do come true.,7.945,1024.0
How to Train Your Dragon,1,"Fantasy, Adventure, Animation, Family",en,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",43.028,"DreamWorks Animation, Paramount",United States of America,18-03-2010,494879471,98,English,One adventure will change two worlds,7.806,11762.0,
Liger,0,"Action, Romance",te,"The journey of Liger, from Karimnagar to Mumbai, from a nobody to a competitor, in his search for recognition while navigating his weaknesses, relationships, and love life.",4.532,"Dharma Productions, Puri Connects",India,25-08-2022,0,138,తెలుగు,Saala Crossbreed,4.818,11.0,
K.G.F: Chapter 2,1,"Action, Crime, Drama",kn,"The blood-soaked land of Kolar Gold Fields (KGF) has a new overlord now - Rocky, whose name strikes fear in the heart of his foes. His allies look up to Rocky as their Savior, the government sees him as a threat to law and order; enemies are clamoring for revenge and conspiring for his downfall. Bloodier battles and darker days await as Rocky continues on his quest for unchallenged supremacy.",13.285,"Hombale Films, Vaaraahi Chalana Chitram, Excel Entertainment",India,14-04-2022,90410749,168,?????,The World Is My Territory,7.632,102.0,
The Secret of Kells,0,"Animation, Family, Fantasy",en,"Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?",14.257,"Cartoon Saloon, Gébéka Films, Les Armateurs, Vivi Film, France 2 Cinéma","Belgium, France, Ireland",09-02-2009,1803412,75,English,Turn the darkness into light,7.425,577.0,
Stan & Ollie,0,"Comedy, Drama",en,"With their golden era long behind them, comedy duo Stan Laurel and Oliver Hardy embark on a variety hall tour of Britain and Ireland. Despite the pressures of a hectic schedule, and with the support of their wives Lucille and Ida – a formidable double act in their own right – the pair's love of performing, as well as for each other, endures as they secure their place in the hearts of their adoring public",11.3,"Fable Pictures, Entertainment One, Baby Cow Productions, Sonesta Films, BBC Film, Laurel and Hardy Feature Productions, Sony Pictures Classics, Entertainment One Features","Canada, United Kingdom, United States of America",28-12-2018,24420923,98,English,The untold story of the world's greatest comedy act.,6.972,935.0,
Lionheart,0,Action,en,"Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights.",41.51,"Universal Pictures, Imperial Filmproduktion",United States of America,07-06-1990,24271196,105,"Español, English",When the streets are a jungle... There can only be one king.,6.52,883.0,
Pride & Prejudice,0,"Drama, Romance",en,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",37.024,"Focus Features, Universal Pictures, StudioCanal, Working Title Films, Scion Films","France, United Kingdom, United States of America",16-09-2005,121616555,127,English,A romance ahead of its time.,8.086,7116.0,
Greyhound,1,"War, Action, Drama",en,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",29.039,"Playtone, Bron Studios, FilmNation Entertainment, Sycamore Pictures, Zhengfu Pictures, Sony Pictures, Stage 6 Films","Canada, China, United States of America",10-07-2020,0,91,English,The only thing more dangerous than the front lines was the fight to get there.,7.417,2435.0,
The Prince of Egypt,1,"Adventure, Animation, Drama, Family",en,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",37.731,"DreamWorks Animation, DreamWorks Pictures",United States of America,16-12-1998,218613188,99,"עִבְרִית, English",The Power Is Real. The Story is Forever. The Time is Now.,7.243,3528.0,
Avengers: Endgame,1,"Adventure, Science Fiction, Action",en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",93.93,Marvel Studios,United States of America,24-04-2019,2794731755,181,"English, 日本語, ",Avenge the fallen.,8.267,23106.0,
Trois couleurs: Rouge,1,"Drama, Mystery, Romance",fr,"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life.",17.285,"Zespół Filmowy TOR, Le Studio Canal+, France 3 Cinéma, TSR","France, Poland, Switzerland",12-05-1994,0,100,Français,,8,1161.0,
The Brave Little Toaster,1,"Fantasy, Adventure, Animation, Comedy, Family, Music",en,"A group of dated appliances, finding themselves stranded in a summer home that their family had just sold, decide to seek their young 8 year old ""master"".",13.616,"The Kushner-Locke Company, Hyperion Pictures, Walt Disney Pictures",United States of America,09-07-1987,0,90,"English, Español, Polski",Plug into the adventure!,6.9,365.0,
Harry Potter and the Prisoner of Azkaban,1,"Adventure, Fantasy",en,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",97.068,"Warner Bros. Pictures, 1492 Pictures, Heyday Films, P of A Productions Limited","United Kingdom, United States of America",31-05-2004,789804554,141,English,Something wicked this way comes.,8.022,19470.0,
The Fault in Our Stars,0,"Romance, Drama",en,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",30.017,"TSG Entertainment, Fox 2000 Pictures, Temple Hill Entertainment",United States of America,16-05-2014,307166834,126,English,,7.6,10466.0,
Frida,0,"Drama, Romance",en,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",10.432,"Miramax, Lions Gate Films, Ventanarosa Productions, Handprint Entertainment","Canada, Mexico, United States of America",29-08-2002,56298474,123,"Français, English, Pусский",Prepare to be seduced.,7.431,1855.0,
Kill Bill: Vol. 1,1,"Action, Crime",en,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",32.744,"Miramax, A Band Apart, Super Cool ManChu",United States of America,10-10-2003,180906076,111,"English, 日本語, Français",A roaring rampage of revenge.,7.97,15759.0,
Dom za vesanje,0,"Drama, Comedy, Crime, Fantasy",sh,"In this luminous tale set in the former Yugoslavia, Perhan, an engaging young Romany with telekinetic powers, is seduced by the quick-cash world of petty crime that threatens to destroy him and those he loves.",10.045,"Ljubavny Film, Kinema Sarajevo, Televizija Sarajevo","Italy, United Kingdom, Yugoslavia",21-12-1988,0,142,,,7.7,308.0,
A Wednesday,0,"Drama, Thriller",hi,"A retired police commissioner recounts the most memorable case of his career, wherein he was informed about a bomb scare in Mumbai.",7.148,UTV Motion Pictures,India,05-09-2008,3500000,103,हिन्दी,,7,264.0,
Kaze no tani no Naushika,0,"Adventure, Animation, Fantasy",ja,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",30.415,Topcraft,Japan,11-03-1984,3301446,117,日本語,A young girl's love called forth miracles…,7.933,3040.0,
I Am Legend,1,"Drama, Science Fiction, Thriller",en,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",49.483,"Village Roadshow Pictures, Weed Road Pictures, Original Film, Warner Bros. Pictures, Heyday Films, Overbrook Entertainment",United States of America,12-12-2007,585410052,101,English,The last man on Earth is not alone,7.198,14313.0,
The Muppet Movie,0,"Comedy, Adventure, Music, Family",en,A Hollywood agent persuades Kermit the Frog to pursue a career in Hollywood. On his way there he meets his future muppet crew while being chased by the desperate owner of a frog-leg restaurant!,12.635,"ITC Entertainment, The Jim Henson Company",United States of America,22-06-1979,65200000,97,"English, Français",More entertaining than humanly possible,7.145,504.0,
Jagten,0,Drama,da,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",19.07,"Zentropa Entertainments, Det Danske Filminstitut, DR, Eurimages, MEDIA Programme of the European Union, Svenska Filminstitutet, SVT, Film i Väst, Nordisk Film & TV Fond","Belgium, Denmark, France, Sweden",25-10-2012,18309793,116,"Dansk, Polski, English",The lie is spreading.,8.096,3561.0,
Tae Guk Gi: The Brotherhood of War,0,,ko,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle",,,South Korea,03-02-2004,,140,한국어/조선말,,,,
